,customer_age,customer_gender,is_premium_member,product_category,unit_price,quantity,total_spent,tax_amount,customer_rating,review_count,payment_method,used_discount_coupon,returned_item,shipping_region,device_type
0,56,F,0,Beauty,66.29808896258308,3,198.89426688774924,37.78991070867236,4,59,Crypto,1,0,East,Mobile
1,69,F,1,Books,14.903286345712623,4,59.61314538285049,11.326497622741593,1,21,Crypto,0,0,North,Mobile
2,46,M,0,Home,210.68735231390482,5,1053.4367615695242,200.1529846982096,5,43,PayPal,0,0,West,Desktop
3,32,M,0,Home,131.20719795552353,3,393.6215938665706,74.78810283464841,5,56,Debit Card,0,0,East,Mobile
4,60,M,1,Home,148.20769817028514,3,444.6230945108554,84.47838795706254,2,15,PayPal,1,0,East,Desktop
5,25,M,0,Home,129.5092751253265,2,259.018550250653,49.21352454762407,4,63,Crypto,0,0,South,Desktop
6,38,F,1,Electronics,571.8745615156648,4,2287.4982460626593,434.6246667519053,1,14,PayPal,0,0,East,Desktop
7,56,F,0,Electronics,493.7951657525129,3,1481.3854972575386,281.4632444789323,2,14,Credit Card,0,0,East,Mobile
8,36,NB,0,Electronics,536.5497716328682,1,536.5497716328682,101.94445661024496,4,37,Debit Card,0,0,West,Mobile
9,40,M,0,Clothing,49.10412283580814,4,196.41649134323256,37.31913335521419,5,49,Credit Card,1,0,West,Mobile
10,28,F,0,Electronics,525.3676615760928,5,2626.838307880464,499.0992784972882,3,39,Credit Card,1,0,East,Tablet
11,28,F,0,Home,115.1641776638973,1,115.1641776638973,21.881193756140487,1,42,Credit Card,0,0,North,Mobile
12,41,M,0,Beauty,87.6826106413867,1,87.6826106413867,16.659696021863475,3,17,Credit Card,0,0,Central,Tablet
13,53,F,0,Home,122.6935331108125,4,490.77413244325,93.2470851642175,3,51,Credit Card,0,0,North,Tablet
14,57,F,1,Beauty,46.357013074847615,1,46.357013074847615,8.807832484221047,5,45,Credit Card,1,0,South,Desktop
15,41,M,0,Home,207.9233259112862,4,831.6933036451449,158.0217276925775,4,20,Credit Card,1,0,West,Mobile
16,20,M,0,Electronics,422.46278454231407,4,1689.8511381692563,321.0717162521587,2,49,PayPal,0,0,East,Mobile
17,39,F,0,Books,20.285551354378992,1,20.285551354378992,3.8542547573320083,1,45,Debit Card,0,0,West,Mobile
18,19,F,0,Electronics,380.37711156449694,5,1901.8855578224848,361.3582559862721,2,37,Debit Card,0,0,West,Tablet
19,41,F,0,Electronics,290.3484663907934,5,1451.742331953967,275.83104307125376,2,34,Credit Card,0,0,East,Desktop
20,61,M,1,Clothing,40.57049890321444,2,81.14099780642889,15.416789583221489,1,22,Debit Card,0,0,West,Desktop
21,47,M,1,Home,187.2698881742235,3,561.8096645226705,106.74383625930739,2,35,PayPal,0,0,East,Mobile
22,55,M,0,Electronics,485.8504903195051,4,1943.4019612780205,369.2463726428239,2,12,Crypto,1,0,Central,Desktop
23,19,M,0,Clothing,41.2315913971753,3,123.69477419152591,23.502007096389924,4,59,PayPal,0,0,Central,Mobile
24,38,F,1,Electronics,613.7359384727529,1,613.7359384727529,116.60982830982304,1,36,Credit Card,0,0,North,Tablet
25,50,F,0,Clothing,40.108941587470085,3,120.32682476241025,22.862096704857947,3,22,Crypto,1,0,South,Mobile
26,29,F,1,Books,18.184718055085465,2,36.36943611017093,6.910192860932477,3,13,Debit Card,0,0,West,Mobile
27,39,M,0,Clothing,42.09739474776948,2,84.19478949553896,15.997010004152402,1,45,PayPal,0,0,East,Mobile
28,61,M,1,Books,18.49865103860031,3,55.49595311580093,10.544231092002176,1,41,Debit Card,0,0,East,Tablet
29,42,F,1,Clothing,38.6267648778241,4,154.5070595112964,29.356341307146316,5,71,Debit Card,0,0,South,Desktop
30,66,F,0,Clothing,46.258808153348646,1,46.258808153348646,8.789173549136242,3,23,Crypto,0,0,East,Desktop
31,44,F,0,Books,13.070535685214505,3,39.21160705564351,7.450205340572268,2,15,Crypto,0,0,North,Mobile
32,59,M,0,Home,197.3883209029174,5,986.941604514587,187.51890485777153,5,73,PayPal,1,0,West,Desktop
33,45,M,0,Beauty,69.28888950596038,5,346.4444475298019,65.82444503066236,4,55,PayPal,1,0,North,Mobile
34,33,NB,0,Home,182.28880933174045,4,729.1552373269618,138.53949509212273,3,28,Debit Card,0,0,North,Desktop
